trial,step,original,complete,window,sups,size
1,3,19,19,25,9,324
1,5,36,36,25,9,324
1,32,10,10,25,9,324
1,17,26,26,25,9,324
1,42,5,5,25,9,324
1,20,32,32,25,9,324
1,38,14,14,25,9,324
1,2,50,50,25,9,324
1,34,37,37,25,9,324
1,22,50,50,25,9,324
1,23,50,50,25,9,324
1,52,27,27,25,9,324
1,77,4,4,25,9,324
1,66,17,17,25,9,324
1,72,11,11,25,9,324
1,56,29,29,25,9,324
1,28,57,57,25,9,324
1,10,78,78,25,9,324
1,4,84,84,25,9,324
1,6,94,94,25,9,324
1,87,12,12,25,9,324
1,82,20,20,25,9,324
1,24,83,83,25,9,324
1,16,92,92,25,9,324
1,7,106,106,25,9,324
1,117,3,3,25,9,324
1,1,116,116,25,9,324
1,49,69,69,25,9,324
1,19,37,107,25,9,324
1,26,100,100,25,9,324
1,94,33,33,25,9,324
1,14,114,114,25,9,324
1,15,113,113,25,9,324
1,63,66,66,25,9,324
1,39,64,97,25,9,324
1,12,126,126,25,9,324
1,25,115,115,25,9,324
1,55,60,86,25,9,324
1,9,132,132,25,9,324
1,88,66,66,25,9,324
1,103,51,51,25,9,324
1,58,46,101,25,9,324
1,51,105,105,25,9,324
1,99,64,64,25,9,324
1,60,57,103,25,9,324
1,85,78,78,25,9,324
1,143,28,28,25,9,324
1,29,88,144,25,9,324
1,98,82,82,25,9,324
1,100,84,84,25,9,324
1,65,22,120,25,9,324
1,21,60,168,25,9,324
1,149,37,37,25,9,324
1,79,107,110,25,9,324
1,45,146,146,25,9,324
1,145,13,47,25,9,324
1,151,42,42,25,9,324
1,74,120,120,25,9,324
1,47,150,150,25,9,324
1,80,116,118,25,9,324
1,162,36,36,25,9,324
1,68,130,130,25,9,324
1,83,120,120,25,9,324
1,205,1,1,25,9,324
1,152,55,55,25,9,324
1,170,23,39,25,9,324
1,115,97,97,25,9,324
1,11,73,203,25,9,324
1,67,58,149,25,9,324
1,195,23,23,25,9,324
1,131,78,86,25,9,324
1,174,15,51,25,9,324
1,181,45,45,25,9,324
1,18,101,211,25,9,324
1,191,40,40,25,9,324
1,97,134,134,25,9,324
1,136,97,97,25,9,324
1,102,131,131,25,9,324
1,35,97,200,25,9,324
1,8,116,229,25,9,324
1,36,50,202,25,9,324
1,201,37,37,25,9,324
1,148,11,96,25,9,324
1,89,62,158,25,9,324
1,207,40,40,25,9,324
1,156,54,92,25,9,324
1,124,45,123,25,9,324
1,138,112,112,25,9,324
1,180,72,72,25,9,324
1,48,22,209,25,9,324
1,244,14,14,25,9,324
1,203,55,55,25,9,324
1,41,21,218,25,9,324
1,93,108,168,25,9,324
1,128,134,134,25,9,324
1,27,35,238,25,9,324
1,219,18,46,25,9,324
1,54,143,212,25,9,324
1,231,36,36,25,9,324
1,101,8,166,25,9,324
1,235,17,33,25,9,324
1,237,15,31,25,9,324
1,211,57,57,25,9,324
1,133,135,135,25,9,324
1,120,142,149,25,9,324
1,40,135,230,25,9,324
1,50,145,217,25,9,324
1,212,59,59,25,9,324
1,177,97,97,25,9,324
1,243,1,32,25,9,324
1,198,77,77,25,9,324
1,141,135,135,25,9,324
1,185,91,91,25,9,324
1,127,65,150,25,9,324
1,95,89,183,25,9,324
1,276,5,5,25,9,324
1,204,75,78,25,9,324
1,247,36,36,25,9,324
1,265,9,18,25,9,324
1,105,128,186,25,9,324
1,187,103,103,25,9,324
1,178,25,115,25,9,324
1,274,20,20,25,9,324
1,75,101,219,25,9,324
1,256,39,39,25,9,324
1,169,129,129,25,9,324
1,109,20,188,25,9,324
1,282,17,17,25,9,324
1,280,19,19,25,9,324
1,112,11,190,25,9,324
1,13,66,289,25,9,324
1,163,59,144,25,9,324
1,216,65,93,25,9,324
1,220,91,91,25,9,324
1,192,121,121,25,9,324
1,61,101,253,25,9,324
1,31,143,285,25,9,324
1,293,23,23,25,9,324
1,33,16,286,25,9,324
1,153,132,170,25,9,324
1,213,80,115,25,9,324
1,96,130,232,25,9,324
1,317,12,12,25,9,324
1,245,64,84,25,9,324
1,262,69,69,25,9,324
1,110,101,222,25,9,324
1,238,99,99,25,9,324
1,76,83,264,25,9,324
1,320,19,19,25,9,324
1,210,36,133,25,9,324
1,272,62,74,25,9,324
1,269,11,79,25,9,324
1,172,85,175,25,9,324
1,215,133,133,25,9,324
1,70,78,278,25,9,324
1,121,150,228,25,9,324
1,90,9,259,25,9,324
1,209,81,140,25,9,324
1,283,71,71,25,9,324
1,30,90,324,25,9,324
1,116,139,239,25,9,324
1,344,13,13,25,9,324
1,228,10,131,25,9,324
1,214,144,148,25,9,324
1,173,102,190,25,9,324
1,44,47,321,25,9,324
1,240,129,129,25,9,324
1,348,23,23,25,9,324
1,43,56,328,25,9,324
1,338,35,35,25,9,324
1,318,55,55,25,9,324
1,350,4,25,25,9,324
1,194,129,183,25,9,324
1,221,138,155,25,9,324
1,106,114,275,25,9,324
1,64,119,321,25,9,324
1,322,64,64,25,9,324
1,217,38,169,25,9,324
1,176,66,213,25,9,324
1,53,18,336,25,9,324
1,352,38,38,25,9,324
1,230,14,161,25,9,324
1,353,41,41,25,9,324
1,69,6,327,25,9,324
1,126,126,270,25,9,324
1,226,72,173,25,9,324
1,342,60,60,25,9,324
1,308,34,95,25,9,324
1,289,114,114,25,9,324
1,229,123,176,25,9,324
1,275,132,132,25,9,324
1,78,98,336,25,9,324
1,270,103,144,25,9,324
1,73,67,343,25,9,324
1,281,135,135,25,9,324
1,277,139,139,25,9,324
1,279,103,137,25,9,324
1,372,45,45,25,9,324
1,284,18,134,25,9,324
1,384,34,34,25,9,324
1,341,79,79,25,9,324
1,135,119,285,25,9,324
