trial,step,original,complete,window,sups,size
7,5307,82,82,150,1,100
7,5285,28,104,150,1,100
7,2913,74,2476,150,1,100
7,5326,9,67,150,1,100
7,3206,67,2172,150,1,100
7,5389,7,7,150,1,100
7,5299,96,96,150,1,100
7,5298,64,97,150,1,100
7,4868,60,530,150,1,100
7,4389,71,1011,150,1,100
7,5311,63,90,150,1,100
7,5293,47,110,150,1,100
7,5181,55,219,150,1,100
7,5316,2,88,150,1,100
7,5369,37,37,150,1,100
7,5367,39,39,150,1,100
7,5332,20,77,150,1,100
7,5323,88,88,150,1,100
7,2491,99,2918,150,1,100
7,3685,59,1728,150,1,100
7,5374,38,38,150,1,100
7,5328,84,84,150,1,100
7,5354,63,63,150,1,100
7,2079,52,3335,150,1,100
7,5380,38,38,150,1,100
7,5321,99,99,150,1,100
7,5384,37,37,150,1,100
7,5276,38,144,150,1,100
7,5264,55,161,150,1,100
7,5202,89,223,150,1,100
7,5391,34,34,150,1,100
7,3816,49,1608,150,1,100
7,5398,27,27,150,1,100
7,5423,2,2,150,1,100
7,2971,35,2453,150,1,100
7,5288,83,141,150,1,100
7,5204,60,226,150,1,100
7,5429,10,10,150,1,100
7,5417,23,23,150,1,100
7,3696,30,1747,150,1,100
7,5408,35,35,150,1,100
7,5426,18,18,150,1,100
7,5180,83,263,150,1,100
7,5410,35,35,150,1,100
7,5403,43,43,150,1,100
7,5343,86,101,150,1,100
7,3448,97,1996,150,1,100
7,5386,64,64,150,1,100
7,5382,74,74,150,1,100
7,5345,97,112,150,1,100
7,3953,98,1506,150,1,100
7,5334,50,124,150,1,100
7,3170,72,2289,150,1,100
7,5312,58,149,150,1,100
7,5411,52,52,150,1,100
7,5348,94,117,150,1,100
7,5352,45,113,150,1,100
7,3601,85,1864,150,1,100
7,4897,72,574,150,1,100
7,5372,98,98,150,1,100
7,5356,26,114,150,1,100
7,2868,97,2605,150,1,100
7,5428,16,45,150,1,100
7,4715,88,759,150,1,100
7,3232,80,2242,150,1,100
7,2507,64,2968,150,1,100
7,5462,15,15,150,1,100
7,5439,43,43,150,1,100
7,4401,83,1082,150,1,100
7,2096,67,3385,150,1,100
7,5471,14,14,150,1,100
7,5476,12,12,150,1,100
7,5414,74,74,150,1,100
7,5393,69,97,150,1,100
7,5424,68,68,150,1,100
7,5330,89,163,150,1,100
7,3977,37,1520,150,1,100
7,5349,2,146,150,1,100
7,5305,72,191,150,1,100
7,2972,71,2523,150,1,100
7,5407,90,90,150,1,100
7,5401,97,97,150,1,100
7,4775,24,723,150,1,100
7,3908,75,1591,150,1,100
7,5446,56,56,150,1,100
7,5466,38,38,150,1,100
7,5412,14,92,150,1,100
7,5483,25,25,150,1,100
7,5449,59,59,150,1,100
7,5468,41,41,150,1,100
7,5333,98,177,150,1,100
7,2097,28,3412,150,1,100
7,4409,30,1105,150,1,100
7,5218,69,296,150,1,100
7,5487,29,29,150,1,100
7,5470,45,45,150,1,100
7,5247,91,269,150,1,100
7,5485,18,31,150,1,100
7,3463,70,2052,150,1,100
7,5432,86,86,150,1,100
7,5350,23,168,150,1,100
7,5512,7,7,150,1,100
7,5505,14,14,150,1,100
7,4891,22,628,150,1,100
7,3728,79,1794,150,1,100
7,5416,69,109,150,1,100
7,5518,7,7,150,1,100
7,5363,60,162,150,1,100
7,4420,15,1108,150,1,100
7,3491,11,2029,150,1,100
7,5503,26,26,150,1,100
7,3946,30,1583,150,1,100
7,5463,68,68,150,1,100
7,3173,73,2359,150,1,100
7,5502,31,31,150,1,100
7,5492,42,42,150,1,100
7,5381,19,153,150,1,100
7,5376,10,159,150,1,100
7,5506,29,29,150,1,100
7,5451,87,87,150,1,100
7,5456,82,82,150,1,100
7,5526,13,13,150,1,100
7,5405,20,133,150,1,100
7,5501,41,41,150,1,100
7,5488,54,54,150,1,100
7,5484,5,59,150,1,100
7,4903,25,642,150,1,100
7,5504,41,41,150,1,100
7,2554,72,2994,150,1,100
7,2584,1,2964,150,1,100
7,5547,3,3,150,1,100
7,5379,89,170,150,1,100
7,5464,87,87,150,1,100
7,5434,59,117,150,1,100
7,4979,7,572,150,1,100
7,5459,48,93,150,1,100
7,5457,42,95,150,1,100
7,5486,66,66,150,1,100
7,5397,87,156,150,1,100
7,5460,46,94,150,1,100
7,5472,50,82,150,1,100
7,2893,83,2664,150,1,100
7,3604,88,1949,150,1,100
7,3195,29,2366,150,1,100
7,5494,67,67,150,1,100
7,5473,12,88,150,1,100
7,5531,31,31,150,1,100
7,5222,49,341,150,1,100
7,4908,96,659,150,1,100
7,4098,71,1469,150,1,100
7,4551,37,1014,150,1,100
7,5364,95,201,150,1,100
7,5493,75,75,150,1,100
7,5560,8,8,150,1,100
7,5509,19,64,150,1,100
7,3628,17,1943,150,1,100
7,5569,4,4,150,1,100
7,3330,99,2244,150,1,100
7,5016,22,558,150,1,100
7,5480,23,96,150,1,100
7,5550,26,26,150,1,100
7,5436,41,141,150,1,100
7,5477,62,101,150,1,100
7,5513,66,66,150,1,100
7,3770,7,1783,150,1,100
7,3009,89,2576,150,1,100
7,5529,23,56,150,1,100
7,2150,73,3431,150,1,100
7,5371,20,214,150,1,100
7,5578,10,10,150,1,100
7,3790,67,1795,150,1,100
7,5575,15,15,150,1,100
7,5308,93,281,150,1,100
7,5498,92,92,150,1,100
7,5574,16,16,150,1,100
7,4915,25,677,150,1,100
7,3843,12,1748,150,1,100
7,5525,69,69,150,1,100
7,5469,58,126,150,1,100
7,5537,64,64,150,1,100
7,5572,31,31,150,1,100
7,5557,47,47,150,1,100
7,4021,74,1581,150,1,100
7,5177,32,422,150,1,100
7,5533,74,74,150,1,100
7,5602,5,5,150,1,100
7,5409,56,200,150,1,100
7,5543,64,67,150,1,100
7,5516,97,97,150,1,100
7,5347,8,266,150,1,100
7,2690,69,2927,150,1,100
7,5563,56,56,150,1,100
7,5593,26,26,150,1,100
7,3483,91,2120,150,1,100
7,4038,15,1578,150,1,100
7,5553,70,70,150,1,100
7,5388,89,236,150,1,100
7,5458,39,168,150,1,100
7,3014,40,2610,150,1,100
7,3222,63,2402,150,1,100
7,5375,12,250,150,1,100
7,5540,87,87,150,1,100
7,5532,96,96,150,1,100
7,5238,64,389,150,1,100
7,4556,65,1074,150,1,100
7,5558,51,72,150,1,100
7,3504,10,2123,150,1,100
7,3786,47,1842,150,1,100
7,4068,17,1566,150,1,100
7,3300,13,2337,150,1,100
7,3881,47,1756,150,1,100
7,5490,46,152,150,1,100
7,3033,17,2608,150,1,100
7,5573,40,70,150,1,100
7,5595,48,48,150,1,100
7,5613,33,33,150,1,100
7,2900,95,2752,150,1,100
7,5617,7,34,150,1,100
7,5608,45,45,150,1,100
7,5591,61,61,150,1,100
7,5576,81,81,150,1,100
7,2173,73,3481,150,1,100
7,4916,70,746,150,1,100
7,4141,97,1522,150,1,100
7,5634,35,35,150,1,100
7,5538,58,134,150,1,100
7,5599,70,70,150,1,100
7,3035,28,2634,150,1,100
7,5632,38,38,150,1,100
7,3430,96,2240,150,1,100
7,2723,53,2948,150,1,100
7,5580,90,90,150,1,100
7,5577,95,95,150,1,100
7,5640,25,31,150,1,100
7,5478,98,198,150,1,100
7,5605,48,70,150,1,100
7,2915,26,2763,150,1,100
7,5422,68,254,150,1,100
7,5579,97,97,150,1,100
7,5467,52,210,150,1,100
7,3926,39,1750,150,1,100
7,5567,52,114,150,1,100
7,5672,10,10,150,1,100
